"","ccode","year","country","icrg_bq","icrg_ip","ifuel","isxp","log_milex_cap","log_rgdpch","milper","p_polity2","p_polity2_sq","rgdpch","rpc1","sip2","taxratio","totrev","xpolity","xpolity_sq","yhat","yhat_2"
"315",155,1991,"Chile",2,7.57999992370605,1,0.231199994683266,4.31848859786987,8.92520046234131,90,8,64,7512.1357421875,0.778978884220123,0.796569643997,0.112700000405312,0.223399996757507,6,36,-0.67577201128006,2.67577195167542
"316",155,1992,"Chile",2,8,0,0.222399994730949,4.32154035568237,9.02252388000488,92,8,64,8279.91796875,0.807227492332458,0.796569643997,0.123199999332428,0.230199992656708,6,36,-0.817397177219391,2.81739711761475
"317",155,1993,"Chile",2,8,0,0.213599994778633,4.28718852996826,9.07508373260498,92,8,64,8726.7021484375,0.836414992809296,0.796569643997,0.127900004386902,0.232400000095367,6,36,-0.817397177219391,2.81739711761475
"318",155,1994,"Chile",2,7,0,0.204799994826317,4.74784231185913,9.11632823944092,102,8,64,9094.1171875,0.796242773532867,0.796569643997,0.1216000020504,0.225699990987778,6,36,-0.480194479227066,2.48019456863403
"319",155,1995,"Chile",2,7,0,0.195999994874001,4.92009925842285,9.20195293426514,102,8,64,9907.01953125,0.764186501502991,0.796569643997,0.118400000035763,0.222399994730949,6,36,-0.480194479227066,2.48019456863403
"320",155,1996,"Chile",2.42000007629395,7.82999992370605,0,0.195999994874001,4.9511775970459,9.26107501983643,102,8,64,10510.33984375,0.683520376682281,0.796569643997,0.127499997615814,0.234400004148483,6,36,-0.340072631835938,2.76007270812988
"321",155,1997,"Chile",3,9.82999992370605,0,0.195999994874001,5.29749631881714,9.31063556671143,102,8,64,11044.3046875,0.656381070613861,0.796569643997,0.1233000010252,0.232600003480911,6,36,-0.434478163719177,3.43447828292847
"322",155,1998,"Chile",3,10.5,0,0.195999994874001,5.3335108757019,9.32832717895508,100,8,64,11241.4150390625,0.629853546619415,0.796569643997,0.118400000035763,0.229399979114532,6,36,-0.660404026508331,3.66040396690369
"323",155,1999,"Chile",3,8.07999992370605,0,0.195999994874001,5.14855146408081,9.3181324005127,88,8,64,11127.4052734375,0.565268635749817,0.796569643997,0.107900001108646,0.224900022149086,6,36,0.155626595020294,2.84437346458435
"324",160,1984,"Argentina",2,3.32999992370605,4,0.0752000004053115,4.33632278442383,9.19247913360596,174,8,64,9813.615234375,0.506705224514008,0.957767623967,0.066200003027916,0.126399993896484,7,49,0.757339537143707,1.24266040325165
