Unnamed: 0,resp_id,any_missing,party_lean,gender,highest_edu,trust_gov_dc_V241229,trust_court_system_V241230,corrupt_officials_V241233,trust_people_V241234,trust_election_officials_V241315,trust_judiciary_V242419,trust_gov_V242418,trust_congress_V242417,trust_news_media_V241335,trust_social_media_V242422,trust_parties_V242421,trust_scientists_V242420,x,y
85,140115,False,Strong Dem,Female,Some college,2,5,4,2,3,4,3,3,3,3,3,2,11.008656,59.315052
86,140116,False,Strong Rep,Male,Advanced Degree,4,4,3,3,1,3,3,3,1,4,3,3,70.540855,-16.483932
87,140117,False,Lean Dem,Nonbinary,Some college,3,4,3,4,4,3,3,4,2,3,3,2,32.32122,32.916527
88,140119,False,Strong Rep,Male,Advanced Degree,4,3,4,2,4,2,2,2,1,4,3,3,-17.209322,-21.818768
89,140120,False,Strong Dem,Male,Some college,3,2,4,4,4,2,2,3,3,2,3,2,-43.01154,47.422726
90,140122,False,Independent,Female,HS,3,3,2,2,1,4,4,4,3,3,4,3,45.16695,20.506552
91,140123,False,Lean Dem,Female,HS,3,3,3,3,3,2,2,2,3,3,3,2,-28.005444,-18.540138
92,140124,False,Strong Dem,Female,Bachelors,3,4,2,3,3,2,3,3,3,3,3,1,11.360007,24.187191
93,140125,False,Strong Rep,Male,HS,3,3,3,3,4,2,2,2,1,3,2,2,-25.234644,-64.65475
94,140126,False,Strong Dem,Female,Advanced Degree,3,3,4,2,3,3,2,2,2,3,2,1,-37.034706,-51.77904
95,140127,False,Strong Dem,Female,Some college,3,2,1,3,3,3,3,4,5,2,3,2,36.436783,40.988174
96,140128,False,Lean Dem,Male,Advanced Degree,3,3,4,2,4,2,2,2,3,2,2,1,-93.01845,1.8095751
97,140129,False,Strong Rep,Male,Some college,4,2,3,2,2,1,3,3,3,1,3,1,-19.313257,39.283184
98,140131,False,Strong Rep,Male,Bachelors,4,4,3,2,2,2,3,2,1,3,2,2,-6.541796,-83.55499
99,140132,False,Lean Dem,Male,Advanced Degree,4,4,2,2,4,3,3,4,2,3,4,1,54.578175,45.9186
100,140134,False,Not strong Rep,Male,Bachelors,4,3,4,2,5,1,2,2,3,2,3,1,-53.833492,24.038738
101,140135,False,Strong Rep,Female,Advanced Degree,5,3,3,2,2,2,3,4,2,4,2,2,36.710636,-46.604176
102,140136,False,Lean Rep,Male,Some college,2,2,3,2,5,2,2,2,3,2,2,2,-64.169495,-39.53959
103,140139,False,Strong Dem,Male,Some college,3,3,4,3,5,2,2,2,4,2,2,2,-60.813297,-28.082561
104,140140,False,Lean Rep,Female,Some college,4,4,3,2,1,4,4,4,1,4,3,2,72.27787,8.895525
105,140141,False,Lean Dem,Female,Advanced Degree,4,4,2,3,3,2,3,3,2,3,3,2,50.010468,-49.226078
106,140142,False,Strong Dem,Female,Some college,4,4,2,4,3,3,4,4,3,1,2,3,22.205936,38.502644
107,140144,False,Strong Dem,Male,Advanced Degree,3,3,4,2,5,3,2,3,4,2,3,1,-12.622094,74.77125
108,140145,False,Not strong Dem,Male,Some college,4,4,3,4,4,2,2,2,3,2,2,2,-35.640076,-33.805088
109,140146,False,Strong Dem,Male,Advanced Degree,4,4,3,3,4,2,2,3,2,2,3,1,-21.679798,50.371033
110,140147,False,Strong Rep,Female,Some college,2,2,3,2,4,2,3,2,3,3,3,3,2.6074991,-2.965129
111,140149,False,Lean Rep,Male,Bachelors,4,2,4,2,4,2,3,3,2,3,3,1,-4.365169,20.562141
112,140150,False,Lean Rep,Male,Bachelors,4,3,3,3,3,2,3,3,2,2,2,2,-6.451085,14.488395
113,140151,False,Not strong Rep,Male,Some college,4,2,3,4,2,3,4,4,1,3,4,3,55.280296,-8.93641
114,140152,False,Strong Dem,Female,Advanced Degree,4,4,4,2,4,3,2,2,3,2,2,1,-59.39196,7.120796
115,140155,False,Strong Rep,Male,HS,4,4,2,3,3,3,2,2,2,3,2,2,4.4824314,-76.24222
116,140156,False,Not strong Rep,Male,Advanced Degree,5,4,2,2,2,2,4,3,1,4,4,3,46.429363,-27.531017
117,140157,False,Independent,Female,HS,2,3,4,5,3,3,3,3,3,3,2,2,43.35408,7.2034864
118,140158,False,Strong Dem,Female,Some college,2,2,4,2,5,2,3,3,4,1,3,1,-13.329069,44.551365
119,140159,False,Not strong Dem,Male,Bachelors,4,4,3,3,5,4,4,4,3,2,4,1,47.23849,59.50054
120,140160,False,Strong Rep,Male,HS,4,4,3,3,4,2,2,2,3,4,3,3,-14.133759,-71.91436
121,140161,False,Strong Dem,Female,Some college,4,4,2,3,3,3,3,3,3,2,3,1,25.066008,53.916798
122,140162,False,Lean Rep,Male,Some college,5,3,2,3,1,3,4,3,1,4,4,2,74.77955,10.076976
123,140163,False,Not strong Dem,Male,Some college,3,3,4,3,5,3,3,3,4,2,2,1,1.2876959,71.16807
124,140166,False,Not strong Dem,Male,Advanced Degree,4,4,4,5,5,2,3,3,3,3,3,2,19.216555,30.85056
125,140167,False,Strong Dem,Female,Bachelors,3,3,3,3,2,3,3,4,3,4,4,1,43.733086,55.13632
126,140168,False,Strong Dem,Female,Advanced Degree,2,2,3,2,5,2,2,3,4,1,3,2,-43.938786,59.314587
127,140169,False,Lean Rep,Male,Bachelors,3,3,2,2,3,2,3,3,2,3,3,2,27.466116,-32.78728
128,140171,False,Strong Rep,Male,HS,5,3,3,2,2,4,2,2,3,4,3,2,-2.4098277,-12.681051
129,140173,False,Strong Rep,Female,Advanced Degree,4,2,2,2,1,2,3,3,1,4,3,2,19.797167,-26.26699
130,140175,False,Lean Rep,Female,Some college,4,4,4,4,3,2,2,2,2,4,2,2,-15.385356,-67.14047
131,140176,False,Strong Dem,Female,Bachelors,2,2,3,3,3,2,2,2,3,2,3,1,-42.065132,36.882534
132,140177,False,Strong Dem,Female,Some college,4,4,4,2,4,2,3,2,2,3,3,2,-19.135878,19.824053
133,140178,False,Strong Dem,Female,HS,3,2,4,4,4,2,2,2,2,2,3,2,-35.7249,-12.516228
134,140180,False,Strong Dem,Female,Advanced Degree,2,2,4,2,5,2,1,3,5,2,1,1,-84.24609,25.13338
135,140181,False,Strong Dem,Female,Advanced Degree,2,3,4,2,4,2,2,2,4,2,2,1,-90.85127,4.689756
136,140183,False,Lean Rep,Female,HS,3,3,3,3,2,2,4,4,3,2,3,3,-4.136728,6.257476
137,140185,False,Strong Dem,Female,Advanced Degree,2,3,4,2,3,2,1,1,2,2,2,1,-75.369705,-36.17745
138,140187,False,Strong Rep,Male,Some college,5,4,2,3,1,3,4,3,3,3,3,3,86.391495,-12.654054
139,140188,False,Strong Dem,Male,Advanced Degree,4,4,4,2,5,3,2,2,4,2,2,2,-53.753338,4.9906883
140,140189,False,Strong Dem,Nonbinary,Advanced Degree,2,3,4,2,5,1,2,3,3,1,2,1,-79.205215,21.277987
